ID,Y Pred,Mass,Pred Formula,Pred Mass,Pred Atom Num,Pred H/C Num,Running Time,Refined Formula (0),Refined Formula (1),Refined Formula (2),Refined Formula (3),Refined Formula (4),Refined Mass (0),Refined Mass (1),Refined Mass (2),Refined Mass (3),Refined Mass (4),Rescore (0),Rescore (1),Rescore (2),Rescore (3),Rescore (4)
EMBL_MCF_2_0_HRMS_Library000529,4.2095017;4.135452;0.80218256;3.3656924;-0.0020479069;0.010612208;0.029468037;-0.016092926;-0.0005435936;-0.0022356124;-0.0012844176;-0.0007468611;-0.001144426,112.02798461914062,C4H4ON3,111.82551574707031,11.903729438781738,0.9278033375740051,0.24567372458321707,C4H4N2O2,C2H2N5O,,,,112.02727737692,112.02593470618,,,,0.9384313821792603,0.06768675148487091,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000493,5.987555;5.05192;2.0616865;0.6539981;0.40856725;-0.0056035453;0.0047255233;-0.008391923;-0.00045261308;0.00018226355;-0.0023146034;-0.00086960796;-0.0005155359,130.0999298095703,C6H5O2N,129.07879638671875,14.96874713897705,1.0046296119689941,0.2343853201184954,C7H14O2,C5H12N3O,,,,130.09937969036,130.09803701962,,,,0.9150413870811462,0.5027618408203125,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000492,6.2377486;6.242502;2.548033;0.83217937;0.15469971;0.27812228;0.0711814;-0.0015154429;-0.00042751283;-0.0067769587;-0.0017094285;-5.5116416e-05;0.00027049892,149.03382873535156,C6H6O3N,148.56179809570312,16.102252960205078,1.138631820678711,0.2528055395398821,C7H5N2O2,,,,,149.03510240915,,,,,0.01172701921314001,0.0,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000474,4.28741;4.4191966;1.758719;0.18803278;-0.0076524797;-0.0015565001;-0.000518699;-0.0064288205;-0.0007156756;-0.002718097;-0.0033146054;-0.0009999871;-0.00094103254,90.0322265625,C4H4O2,92.65300750732422,12.636314392089844,1.586822748184204,0.2162912573133196,C3H6O3,,,,,90.03169405209,,,,,0.9901897311210632,0.0,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000473,5.5754666;5.395556;3.1623123;1.6084992;0.7259367;0.011405367;-0.0052483454;-0.004942607;-0.0006569088;-0.005744368;-0.0029973537;-0.0007232964;-0.000638539,158.04425048828125,C6H5O3N2F,153.1425018310547,16.840980529785156,1.1990946531295776,0.3985255445752825,C6H8NO4,C7F2H6NO,C4H6N4O3,,,158.04533274055,158.04174514284,158.04399006980998,,,0.6339027881622314,0.36046063899993896,0.17863044142723083,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000472,6.728973;7.1565113;1.9813124;2.4158082;0.14310044;-0.0069173;0.014595065;-0.011907185;-0.0006977402;-0.0005329311;-0.0020181686;-0.0013189375;-0.00076542236,158.04452514648438,C7H7O2N2,157.80433654785156,17.587570190429688,0.9926528930664062,0.2426412786756243,C6H8NO4,C4H6N4O3,,,,158.04533274055,158.04399006980998,,,,0.30086860060691833,0.19374194741249084,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000465,6.9192185;7.550599;5.2405314;-0.03782935;0.015248425;-0.01448994;-0.0023128719;-0.01592408;-0.002040317;-0.007382128;-0.001341489;-0.0051685334;-0.0023406688,174.05332946777344,C7H8O5,175.53741455078125,20.466894149780273,1.193028450012207,0.23517090933663504,C7H10O5,C5H8N3O4,C10H8NO2,,,174.05282342015,174.05148074941002,174.05550350141,,,0.993190586566925,0.020061155781149864,0.013612248003482819,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000455,4.45832;6.926241;4.019823;1.3859675;-0.024507007;0.05844306;-0.00045722426;-0.010509608;0.00053193327;-0.0038342252;-0.002970539;0.0017443597;-0.0005013649,147.05372619628906,C4H7O4N,147.07862854003906,17.67535400390625,1.8115801811218262,0.2611523355756487,C5H9NO4,C3H7N4O3,,,,147.05315777278003,147.05181510204,,,,0.9738458395004272,0.0030700424686074257,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000420,8.989507;7.848997;2.1318593;1.7712656;0.031806268;-0.0027732216;-0.0029780627;-0.0070896484;-0.00040430203;-0.0015160531;-0.0033769011;-0.0013492405;-0.00084425247,175.09596252441406,C9H8O2N2,171.78958129882812,20.16593360900879,0.8525835871696472,0.24596602576119558,C6H13N3O3,C8H15O4,,,,175.09569129099,175.09703396173,,,,0.007171701639890671,0.0010089287534356117,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000412,5.3576546;9.109643;4.827491;-0.008090145;0.026867636;-0.008925739;-0.0010764062;-0.009684993;-0.001593871;-0.0041062566;-0.0025056675;-0.004036677;-0.0022586887,150.05332946777344,C5H9O5,149.42984008789062,19.797054290771484,1.6524994373321533,0.23491317885262625,C5H10O5,C8H8NO2,C3H8N3O4,,,150.05282342015,150.05550350141,150.05148074941002,,,0.9949560761451721,0.20223577320575714,0.006216470617800951,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000381,5.9005065;6.716449;1.6364374;1.8136574;0.13624203;0.032509316;0.007385373;-0.010810676;-0.0005456839;-0.0005329982;-0.0015240252;-0.0010011822;-0.0006051902,132.09042358398438,C6H7O2N2,132.02322387695312,16.12787437438965,1.230224609375,0.24056036131722586,C5H12N2O2,C3H10N5O,,,,132.08987763476,132.08853496402,,,,0.759379506111145,2.7419397156336345e-05,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000378,7.5115056;13.506501;2.2536054;1.3648982;-0.0022341;-0.00649037;0.0048897713;-0.008931469;-0.0006812826;-0.0017224059;-0.0039776624;-0.0007811904;-0.00033894816,162.1010284423828,C8H14O2N,160.6812286376953,24.170400619506836,1.8704547882080078,0.23637730734688894,C6H14N2O3,,,,,162.10044231879,,,,,0.14175233244895935,0.0,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000377,2.4535646;4.825203;3.3450272;0.41643563;-0.026827002;0.43409467;-0.008276497;0.39349476;-0.0017141793;-0.003663394;-0.0010640443;-0.0018598646;-0.0010262433,125.01522827148438,C2H5O3,124.72502136230469,13.572741508483887,3.0191195011138916,0.23884923117501394,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000366,6.5368114;10.054914;1.0205637;4.069352;0.17886072;0.012370396;0.06367862;-0.011050088;-0.00031258407;-0.0011852235;-0.0010567021;-0.00095798675;-0.0012221042,174.1122283935547,C7H10ON4,173.6343994140625,21.978727340698242,1.6381356716156006,0.2569850172315325,C6H14N4O2,C8H16NO3,C4H12N7O,,,174.11167570807999,174.11301837882002,174.11033303733998,,,0.31163260340690613,0.0033068747725337744,0.0001879882183857262,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000347,3.9815545;6.087298;1.5033789;0.72722447;-0.006105475;0.032099325;-0.0033978105;-0.0039416053;-0.00033594278;-0.0046260837;-0.0015268669;-0.0008924276;-0.0007933263,89.04827117919922,C4H6O2N,88.12618255615234,11.870088577270508,1.8015244007110596,0.21837551253182547,C3H7NO2,,,,,89.04767846918,,,,,0.8909760117530823,0.0,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000328,6.3078623;8.023262;5.6042347;-0.013776438;0.038156427;-0.0137048215;-0.0017268986;-0.018063117;-0.0020125841;-0.0072432044;-0.0015267193;-0.0053925635;-0.0025416499,174.01702880859375,C6H8O6,174.8057861328125,20.147201538085938,1.2121779918670654,0.22735936301095144,C6H6O6,C4H4N3O5,C9H4NO3,,,174.0164379108,174.01509524006,174.01911799206,,,0.979136049747467,0.007093657273799181,0.0003530011745169759,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000324,4.036383;4.808663;2.1391642;0.14356032;-0.016517542;-0.0040255333;-0.0010048806;-0.011085881;-0.0007673595;-0.0015614644;-0.0014298141;-0.00096753536;-0.00091045536,90.0322265625,C4H5O2,93.02886199951172,12.738168716430664,1.68125581741333,0.21621138708932058,C3H6O3,,,,,90.03169405209,,,,,0.9937745332717896,0.0,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000319,4.631719;7.5872917;4.573573;0.067590035;0.011150725;-0.005419531;-0.0024154603;-0.008578045;-0.0013692224;-0.00657008;-0.002932626;-0.003820461;-0.0020198885,134.02203369140625,C5H8O5,136.2728729248047,16.48079490661621,1.5743951797485352,0.21750528471810476,C4H6O5,C2H4N3O4,C7H4NO2,,,134.02152329122998,134.02018062049,134.02420337249,,,0.98576420545578,0.01698828674852848,0.00015431422798428684,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000318,7.3676815;11.606792;3.5966768;1.0526834;0.0007335171;-0.0071259583;0.0002985075;-0.009910858;-0.00040438474;-0.0011952475;-0.0031301945;-0.00027581453;-0.0003152553,175.0486297607422,C7H12O4N,173.5513458251953,23.34200096130371,1.7225618362426758,0.25639922278267996,C6H9NO5,C9H7N2O2,C4H7N4O4,,,175.04807239235,175.05075247361,175.04672972161,,,0.2951386272907257,0.053739599883556366,0.0005474064964801073,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000308,7.482034;12.325122;1.7934612;1.9423344;0.09291191;0.41401333;-0.0036688193;-0.010730226;-0.00082575716;-0.0031188787;-0.0023500116;-0.00065290334;-0.0004406128,174.1010284423828,C7H12O2N2,174.9745330810547,24.4315185546875,1.647653579711914,0.27379305022103445,C7H14N2O3,C5H12N5O2,,,,174.10044231879,174.09909964805,,,,0.09116584807634354,3.109865065198392e-05,0.0,0.0,0.0
EMBL_MCF_2_0_HRMS_Library000302,7.5527763;9.176099;2.14226;1.9359701;0.006193675;-0.004100432;0.0115852505;-0.00783215;-0.0005817924;-0.0009582356;-0.0028524788;-0.0012284995;-0.0006134782,163.03082275390625,C8H9O2N2,161.97357177734375,20.588550567626953,1.1886212825775146,0.23764760153634207,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
